,user_input,reference_contexts,reference,synthesizer_name
0,"Could you elaborate on the role of MLPerf in evaluating AI systems, particularly in the context of the FuriosaAI Software Stack?","['* [.rst](../_sources/getting_started/furiosa_mlperf.rst ""Download source file"") * .pdf Running MLPerf™ Inference Benchmark =================================== Contents -------- * [Installing `furiosa-mlperf` command](#installing-furiosa-mlperf-command) * [Running MLPerf Inference Benchmark](#id1) + [SYNOPSIS](#synopsis) + [Examples](#examples) * [Running `furiosa-mlperf` in container environment](#running-furiosa-mlperf-in-container-environment) Running MLPerf™ Inference Benchmark [#](#running-mlperf-inference-benchmark ""Link to this heading"") =================================================================================================== MLPerf™ is a benchmark suite that evaluates the performance of machine learning (ML) software, hardware, and cloud platforms. It is generally used to compare the performance of different systems, and to help developers and end users make decisions about AI systems. FuriosaAI Software Stack provides `furiosa-mlperf` command to run easily the MLPerf Inference Benchmark. This section describes how to reproduce the MLPerf™ Inference Benchmark using the FuriosaAI Software Stack. Note `furiosa-mlperf` is based on MLPerf™ Inference Benchmark v4.1. The only exception is that we replaced the Llama2 benchmark with one using Llama 3.1.  Running MLPerf Inference Benchmark](#id1) + [']","MLPerf™ is a benchmark suite that evaluates the performance of machine learning (ML) software, hardware, and cloud platforms. It is generally used to compare the performance of different systems and to help developers and end users make decisions about AI systems. The FuriosaAI Software Stack provides the `furiosa-mlperf` command to easily run the MLPerf Inference Benchmark, which is based on MLPerf™ Inference Benchmark v4.1, with the exception of replacing the Llama2 benchmark with one using Llama 3.1.",single_hop_specifc_query_synthesizer
1,What change was made to the MLPerf Inference Benchmark in the FuriosaAI Software Stack?,"['* [.rst](../_sources/getting_started/furiosa_mlperf.rst ""Download source file"") * .pdf Running MLPerf™ Inference Benchmark =================================== Contents -------- * [Installing `furiosa-mlperf` command](#installing-furiosa-mlperf-command) * [Running MLPerf Inference Benchmark](#id1) + [SYNOPSIS](#synopsis) + [Examples](#examples) * [Running `furiosa-mlperf` in container environment](#running-furiosa-mlperf-in-container-environment) Running MLPerf™ Inference Benchmark [#](#running-mlperf-inference-benchmark ""Link to this heading"") =================================================================================================== MLPerf™ is a benchmark suite that evaluates the performance of machine learning (ML) software, hardware, and cloud platforms. It is generally used to compare the performance of different systems, and to help developers and end users make decisions about AI systems. FuriosaAI Software Stack provides `furiosa-mlperf` command to run easily the MLPerf Inference Benchmark. This section describes how to reproduce the MLPerf™ Inference Benchmark using the FuriosaAI Software Stack. Note `furiosa-mlperf` is based on MLPerf™ Inference Benchmark v4.1. The only exception is that we replaced the Llama2 benchmark with one using Llama 3.1.  Running MLPerf Inference Benchmark](#id1) + [']",The FuriosaAI Software Stack replaced the Llama2 benchmark with one using Llama 3.1.,single_hop_specifc_query_synthesizer
2,How can I run a BERT benchmark using the FuriosaAI Software Stack?,"['SYNOPSIS](#synopsis) + [Examples](#examples) * [Running `furiosa-mlperf` in container environment](#running-furiosa-mlperf-in-container-environment) Running MLPerf™ Inference Benchmark [#](#running-mlperf-inference-benchmark ""Link to this heading"") =================================================================================================== MLPerf™ is a benchmark suite that evaluates the performance of machine learning (ML) software, hardware, and cloud platforms. It is generally used to compare the performance of different systems, and to help developers and end users make decisions about AI systems. FuriosaAI Software Stack provides `furiosa-mlperf` command to run easily the MLPerf Inference Benchmark. This section describes how to reproduce the MLPerf™ Inference Benchmark using the FuriosaAI Software Stack. Note `furiosa-mlperf` is based on MLPerf™ Inference Benchmark v4.1. The only exception is that we replaced the Llama2 benchmark with one using Llama 3.1. Installing `furiosa-mlperf` command [#](#installing-furiosa-mlperf-command ""Link to this heading"") -------------------------------------------------------------------------------------------------- To install the `furiosa-mlperf` command, you need to install `furiosa-mlperf` as following: The minimum requirements for `furiosa-mlperf` are as follows: * Ubuntu 20.04 LTS (Debian bullseye) or later * Root permission or sudo permission * Configuring the APT server and installing device drivers ( [Setting up APT server](prerequisites.html#aptsetup) ) * About 100GB storage space (only for the Llama 3.1 70B) Then, please install the `furiosa-mlperf` package as follows: ``` sudo apt update sudo apt install -y furiosa-mlperf ``` This command installs packages `furiosa-compiler` , `furiosa-mlperf` and `furiosa-mlperf-resources` . Running MLPerf Inference Benchmark [#](#id1 ""Link to this heading"") ------------------------------------------------------------------- ### SYNOPSIS [#](#synopsis ""Link to this heading"") The `furiosa-mlperf` command provides the following subcommands: ``` FuriosaAI MLPerf Inference Benchmark Launcher v2024.1.0 (2024-10-04T13:45:37Z) Usage: furiosa-mlperf <COMMAND> Commands: bert-offline Run BERT benchmark with offline scenario bert-server Run BERT benchmark with server scenario gpt-j-offline Run GPT-J benchmark with offline scenario gpt-j-server Run GPT-J benchmark with server scenario llama-3.1-offline Run Llama 3.1 benchmark with offline scenario llama-3.1-server Run Llama 3.1 benchmark with server scenario help Print this message or the help of the given subcommand(s) Options: -h, --help Print help -V, --version Print version ``` ### Examples [#](#examples ""Link to this heading"") * BERT benchmark The BERT benchmark is based on running with a single RNGD. + Server Scenario To run BERT Large serving inference benchmark, you can use the following command: ``` furiosa-mlperf bert-server ./bert-large ./bert-server-result --device-mesh ""npu:0:*"" ``` + Offline Scenario To run BERT Large offline inference benchmark, you can use the following command: ``` furiosa-mlperf bert-offline ./bert-large ./bert-offline-result --device-mesh ""npu:0:*"" ``` * GPT-J benchmark The GPT-J benchmark is based on running with a single RNGD. + Server Scenario To run GPT-J 6B serving inference benchmark, you can use the following command: ``` furiosa-mlperf gpt-j-server ./gpt-j-6b ./gpt-j-server-result ``` + Offline Scenario To run GPT-J 6B offline inference benchmark, you can use the following command: ``` furiosa-mlperf gpt-j-offline ./gpt-j-6b ./gpt-j-offline-result ``` * Llama 3.1 benchmark The Llama 3.1 benchmark is based on running with four RNGDs. + Server Scenario To run Llama 3.1 70B serving inference benchmark, you can use the following command: ``` furiosa-mlperf llama-3.1-server ./llama-3.1-70b ./llama-3.1-server-result ``` + Offline Scenario To run Llama 3.1 70B offline inference benchmark, you can use the following command: ``` furiosa-mlperf llama-3.1-offline ./llama-3.1-70b ./llama-3.1-offline-result ``` * Common Once the process completes, it writes the results to a file in the specified results directory. You can open this file to view a summary of the results. ``` cat gpt-j-offline-result/mlperf_log_summary.txt ``` ``` ================================================ MLPerf Results Summary ================================================ SUT name : GPT-J SUT Scenario : Offline Mode : PerformanceOnly Samples per second: 11.842 Tokens per second (inferred): 817.095 Result is : VALID Min duration satisfied : Yes Min queries satisfied : Yes Early stopping satisfied: Yes ```']","To run a BERT Large serving inference benchmark, you can use the following command: `furiosa-mlperf bert-server ./bert-large ./bert-server-result --device-mesh ""npu:0:*""`. For the offline scenario, use: `furiosa-mlperf bert-offline ./bert-large ./bert-offline-result --device-mesh ""npu:0:*""`.",single_hop_specifc_query_synthesizer
3,Wht is Debian bullseye?,"['SYNOPSIS](#synopsis) + [Examples](#examples) * [Running `furiosa-mlperf` in container environment](#running-furiosa-mlperf-in-container-environment) Running MLPerf™ Inference Benchmark [#](#running-mlperf-inference-benchmark ""Link to this heading"") =================================================================================================== MLPerf™ is a benchmark suite that evaluates the performance of machine learning (ML) software, hardware, and cloud platforms. It is generally used to compare the performance of different systems, and to help developers and end users make decisions about AI systems. FuriosaAI Software Stack provides `furiosa-mlperf` command to run easily the MLPerf Inference Benchmark. This section describes how to reproduce the MLPerf™ Inference Benchmark using the FuriosaAI Software Stack. Note `furiosa-mlperf` is based on MLPerf™ Inference Benchmark v4.1. The only exception is that we replaced the Llama2 benchmark with one using Llama 3.1. Installing `furiosa-mlperf` command [#](#installing-furiosa-mlperf-command ""Link to this heading"") -------------------------------------------------------------------------------------------------- To install the `furiosa-mlperf` command, you need to install `furiosa-mlperf` as following: The minimum requirements for `furiosa-mlperf` are as follows: * Ubuntu 20.04 LTS (Debian bullseye) or later * Root permission or sudo permission * Configuring the APT server and installing device drivers ( [Setting up APT server](prerequisites.html#aptsetup) ) * About 100GB storage space (only for the Llama 3.1 70B) Then, please install the `furiosa-mlperf` package as follows: ``` sudo apt update sudo apt install -y furiosa-mlperf ``` This command installs packages `furiosa-compiler` , `furiosa-mlperf` and `furiosa-mlperf-resources` . Running MLPerf Inference Benchmark [#](#id1 ""Link to this heading"") ------------------------------------------------------------------- ### SYNOPSIS [#](#synopsis ""Link to this heading"") The `furiosa-mlperf` command provides the following subcommands: ``` FuriosaAI MLPerf Inference Benchmark Launcher v2024.1.0 (2024-10-04T13:45:37Z) Usage: furiosa-mlperf <COMMAND> Commands: bert-offline Run BERT benchmark with offline scenario bert-server Run BERT benchmark with server scenario gpt-j-offline Run GPT-J benchmark with offline scenario gpt-j-server Run GPT-J benchmark with server scenario llama-3.1-offline Run Llama 3.1 benchmark with offline scenario llama-3.1-server Run Llama 3.1 benchmark with server scenario help Print this message or the help of the given subcommand(s) Options: -h, --help Print help -V, --version Print version ``` ### Examples [#](#examples ""Link to this heading"") * BERT benchmark The BERT benchmark is based on running with a single RNGD. + Server Scenario To run BERT Large serving inference benchmark, you can use the following command: ``` furiosa-mlperf bert-server ./bert-large ./bert-server-result --device-mesh ""npu:0:*"" ``` + Offline Scenario To run BERT Large offline inference benchmark, you can use the following command: ``` furiosa-mlperf bert-offline ./bert-large ./bert-offline-result --device-mesh ""npu:0:*"" ``` * GPT-J benchmark The GPT-J benchmark is based on running with a single RNGD. + Server Scenario To run GPT-J 6B serving inference benchmark, you can use the following command: ``` furiosa-mlperf gpt-j-server ./gpt-j-6b ./gpt-j-server-result ``` + Offline Scenario To run GPT-J 6B offline inference benchmark, you can use the following command: ``` furiosa-mlperf gpt-j-offline ./gpt-j-6b ./gpt-j-offline-result ``` * Llama 3.1 benchmark The Llama 3.1 benchmark is based on running with four RNGDs. + Server Scenario To run Llama 3.1 70B serving inference benchmark, you can use the following command: ``` furiosa-mlperf llama-3.1-server ./llama-3.1-70b ./llama-3.1-server-result ``` + Offline Scenario To run Llama 3.1 70B offline inference benchmark, you can use the following command: ``` furiosa-mlperf llama-3.1-offline ./llama-3.1-70b ./llama-3.1-offline-result ``` * Common Once the process completes, it writes the results to a file in the specified results directory. You can open this file to view a summary of the results. ``` cat gpt-j-offline-result/mlperf_log_summary.txt ``` ``` ================================================ MLPerf Results Summary ================================================ SUT name : GPT-J SUT Scenario : Offline Mode : PerformanceOnly Samples per second: 11.842 Tokens per second (inferred): 817.095 Result is : VALID Min duration satisfied : Yes Min queries satisfied : Yes Early stopping satisfied: Yes ```']","Debian bullseye refers to the version of the Debian operating system that is required as a minimum for installing the `furiosa-mlperf` command, specifically Ubuntu 20.04 LTS or later.",single_hop_specifc_query_synthesizer
4,how do you run furiosaai mlperf in container without installing software stack on host system?,"['Running `furiosa-mlperf` in container environment [#](#running-furiosa-mlperf-in-container-environment ""Link to this heading"") ------------------------------------------------------------------------------------------------------------------------------ FuriosaAI provides a containerized version of the `furiosa-mlperf` command. If you use the containerized version, you can run the `furiosa-mlperf` command without installing the FuriosaAI Software Stack on your host system or you can run the command on Kubernetes environment. To run the `furiosa-mlperf` container, you can use the following command: (Assumes model artifacts exist in `/opt/gpt-j-6b` directory) ``` $ docker run -it --rm --privileged \\ -v /opt/gpt-j-6b:gpt-j-6b furiosa-mlperf:2024.1.0 bash (container) # furiosa-mlperf gpt-j-offline /gpt-j-6b /gpt-j-offline-result ``` To run in a containerized environment, refer to the examples provided in this document. Warning The example above uses the `--privileged` option for simplicity, but it is not recommended for security reasons. If you are using Kubernetes, please refer to the following page for the recommended method: [Cloud Native Toolkit](../cloud_native_toolkit/intro.html#cloudnativetoolkit) [previous Quick Start with Furiosa LLM](furiosa_llm.html ""previous page"") [next Furiosa LLM](../furiosa_llm/intro.html ""next page"") Contents * [Installing `furiosa-mlperf` command](#installing-furiosa-mlperf-command) * [Running MLPerf Inference Benchmark](#id1) + [SYNOPSIS](#synopsis) + [Examples](#examples) * [Running `furiosa-mlperf` in container environment](#running-furiosa-mlperf-in-container-environment) By FuriosaAI, Inc. © Copyright 2024, FuriosaAI, Inc..']","FuriosaAI provides a containerized version of the `furiosa-mlperf` command, allowing you to run it without installing the FuriosaAI Software Stack on your host system. You can use the following command to run the `furiosa-mlperf` container: `$ docker run -it --rm --privileged \ -v /opt/gpt-j-6b:gpt-j-6b furiosa-mlperf:2024.1.0 bash (container) # furiosa-mlperf gpt-j-offline /gpt-j-6b /gpt-j-offline-result`. However, note that using the `--privileged` option is not recommended for security reasons.",single_hop_specifc_query_synthesizer
5,what cloud native toolkit do,"['Running `furiosa-mlperf` in container environment [#](#running-furiosa-mlperf-in-container-environment ""Link to this heading"") ------------------------------------------------------------------------------------------------------------------------------ FuriosaAI provides a containerized version of the `furiosa-mlperf` command. If you use the containerized version, you can run the `furiosa-mlperf` command without installing the FuriosaAI Software Stack on your host system or you can run the command on Kubernetes environment. To run the `furiosa-mlperf` container, you can use the following command: (Assumes model artifacts exist in `/opt/gpt-j-6b` directory) ``` $ docker run -it --rm --privileged \\ -v /opt/gpt-j-6b:gpt-j-6b furiosa-mlperf:2024.1.0 bash (container) # furiosa-mlperf gpt-j-offline /gpt-j-6b /gpt-j-offline-result ``` To run in a containerized environment, refer to the examples provided in this document. Warning The example above uses the `--privileged` option for simplicity, but it is not recommended for security reasons. If you are using Kubernetes, please refer to the following page for the recommended method: [Cloud Native Toolkit](../cloud_native_toolkit/intro.html#cloudnativetoolkit) [previous Quick Start with Furiosa LLM](furiosa_llm.html ""previous page"") [next Furiosa LLM](../furiosa_llm/intro.html ""next page"") Contents * [Installing `furiosa-mlperf` command](#installing-furiosa-mlperf-command) * [Running MLPerf Inference Benchmark](#id1) + [SYNOPSIS](#synopsis) + [Examples](#examples) * [Running `furiosa-mlperf` in container environment](#running-furiosa-mlperf-in-container-environment) By FuriosaAI, Inc. © Copyright 2024, FuriosaAI, Inc..']","If you are using Kubernetes, please refer to the following page for the recommended method: Cloud Native Toolkit.",single_hop_specifc_query_synthesizer
6,What OpenAI server do?,"['* [.rst](../_sources/furiosa_llm/furiosa-llm-serve.rst ""Download source file"") * .pdf OpenAI Compatible Server ======================== Contents -------- * [ Preparing Chat Templates](#preparing-chat-templates) * [ Launching the Server](#launching-the-server) + [ Arguments for the serve command](#arguments-for-the-serve-command) * [ Examples](#examples) + [LLaMA-3.1-70B with 4 RNGDs](#llama-3-1-70b-with-4-rngds) + [LLaMA-3.1-8B with Single RNGD](#llama-3-1-8b-with-single-rngd) * [']","The OpenAI Compatible Server is designed to manage AI servers that are compatible with OpenAI APIs, facilitating enhanced client interaction.",single_hop_specifc_query_synthesizer
7,Wht is LLaMA-3.1-70B?,"['* [.rst](../_sources/furiosa_llm/furiosa-llm-serve.rst ""Download source file"") * .pdf OpenAI Compatible Server ======================== Contents -------- * [ Preparing Chat Templates](#preparing-chat-templates) * [ Launching the Server](#launching-the-server) + [ Arguments for the serve command](#arguments-for-the-serve-command) * [ Examples](#examples) + [LLaMA-3.1-70B with 4 RNGDs](#llama-3-1-70b-with-4-rngds) + [LLaMA-3.1-8B with Single RNGD](#llama-3-1-8b-with-single-rngd) * [']",LLaMA-3.1-70B is mentioned in the context as part of examples related to launching a server with 4 RNGDs.,single_hop_specifc_query_synthesizer
8,"What FuriosaAI, Inc. do with OpenAI API?","['Using OpenAI Client](#using-openai-client) * [The compatibility with OpenAI API](#the-compatibility-with-openai-api) OpenAI Compatible Server [#](#openai-compatible-server ""Link to this heading"") ============================================================================== The `furiosa-llm` package includes an OpenAI-compatible server that can interact with OpenAI clients (and, of course, HTTP clients as well), supporting the `/v1/chat/completions` and `/v1/completions` APIs. In this section, we will explain how to launch the OpenAI-compatible furiosa-llm server. Tip You can learn more about the OpenAI API at [Completions API](https://platform.openai.com/docs/api-reference/completions) and [Chat API](https://platform.openai.com/docs/api-reference/chat) . To launch the server, you must prepare: (1) the FuriosaAI LLM Engine artifact and (2) a chat template for the model. To download the FuriosaAI LLM Engine artifact, follow the instructions provided through our distribution channels or contact our sales team. To prepare the chat template, follow the instructions in the following section. Preparing Chat Templates [#](#preparing-chat-templates ""Link to this heading"") ------------------------------------------------------------------------------ Furiosa SDK 2024.1.0 (alpha) uses Transformers v4.31.0, which does not include a chat template. Therefore, to support `/v1/chat/completions` , you must provide a chat template yourself. This constraint will be removed in future releases. Warning This document is based on Furiosa SDK 2024.1.0 (alpha) version, and the features and APIs described in this document may change in the future. If you have access to the Llama repositories on Hugging Face, you can obtain the chat template for Llama using the following commands: ``` # Prerequisite: create a separate environment to install the latest Transformers version pip install ""transformers>=4.34.0"" python - <<EOF from transformers import AutoTokenizer tok = AutoTokenizer.from_pretrained(\'meta-llama/Meta-Llama-3.1-70B-Instruct\') with open(\'chat_template.tpl\', \'w\') as f: f.write(tok.chat_template) EOF ``` Launching the Server [#](#launching-the-server ""Link to this heading"") ---------------------------------------------------------------------- You can launch the server using the furiosa-llm serve command. ### Arguments for the serve command [#](#arguments-for-the-serve-command ""Link to this heading"") ``` usage: furiosa-llm serve [-h] --model {furiosa-ai/llama-3-1-70b,furiosa-ai/llama-3-1-8b,furiosa-ai/fake-llm} --artifact ARTIFACT [--host HOST] [--port PORT] --chat-template CHAT_TEMPLATE [--response-role RESPONSE_ROLE] [-pp PIPELINE_PARALLEL_SIZE] [-tp TENSOR_PARALLEL_SIZE] [--devices DEVICES] options: -h, --help show this help message and exit --model {furiosa-ai/llama-3-1-70b,furiosa-ai/llama-3-1-8b,furiosa-ai/fake-llm} The model to use. Currently only one model is supported per server. --artifact ARTIFACT Path to Furiosa LLM Engine artifact --host HOST Host to bind the server to --port PORT Port to bind the server to --chat-template CHAT_TEMPLATE Path to chat template file (must be a jinja2 template) --response-role RESPONSE_ROLE Response role for /v1/chat/completions API (default: \'assistant\') -pp PIPELINE_PARALLEL_SIZE, --pipeline-parallel-size PIPELINE_PARALLEL_SIZE Number of pipeline stages. -tp TENSOR_PARALLEL_SIZE, --tensor-parallel-size TENSOR_PARALLEL_SIZE Number of tensor parallel replicas. --devices DEVICES Devices to use (e.g. ""npu:0:*,npu:1:*""). If unspecified, all available devices from the host will be used. ``` Examples [#](#examples ""Link to this heading"") ---------------------------------------------- ### LLaMA-3.1-70B with 4 RNGDs [#](#llama-3-1-70b-with-4-rngds ""Link to this heading"") ``` furiosa-llm serve \\ --model {path to mlperf-llama-3-1-fp8-pp4} \\ -tp 4 -pp 4 --devices ""npu:0:*,npu:1:*,npu:2:*,npu:3:*"" \\ --chat-template {path to chat template} ``` ### LLaMA-3.1-8B with Single RNGD [#](#llama-3-1-8b-with-single-rngd ""Link to this heading"") ``` furiosa-llm serve \\ --model {path to mlperf-llama-3-1-8b-fp8} \\ -tp 4 -pp 1 --devices ""npu:0:*"" \\ # You may choose arbitrary device index, if multiple devices are on host --chat-template {path to chat template} ``` Using OpenAI Client [#](#using-openai-client ""Link to this heading"") -------------------------------------------------------------------- You can use two APIs: `client.chat.completions` and `client.completions` . You can also set `stream=True` to receive a streaming response. Tip You can install the OpenAI Python client using the following command: ``` pip install openai ``` ``` import openai HOST = ""localhost:8000"" openai.api_base = f""http://{HOST}/v1"" openai.api_key = ""0000"" stream_chat_completion = openai.ChatCompletion.create( model="""", messages=[ {""role"": ""system"", ""content"": ""You are a helpful assistant.""}, {""role"": ""user"", ""content"": ""What is the largest animal in the world?""}, ], stream=True, ) for completion in stream_chat_completion: content = completion.choices[0].delta.get(""content"") if content: print(content, end="""") ``` The compatibility with OpenAI API [#](#the-compatibility-with-openai-api ""Link to this heading"") ------------------------------------------------------------------------------------------------ Currently, `furiosa serve` supports the following OpenAI API parameters: You can find more about each parameter at [Completions API](https://platform.openai.com/docs/api-reference/completions) and [Chat API](https://platform.openai.com/docs/api-reference/chat) . Warning Please note that using `use_beam_search` with `stream` is not allowed because the beam search cannot determine the tokens until the end of the sequence. In 2024.1 release, `n` works only for beam search and it will be fixed in the next release. * `n` * `temperature` * `top_p` * `top_k` * `early_stopping` * `length_penalty` * `max_tokens` * `min_tokens` * `use_beam_search` * `best_of` [previous Furiosa LLM](intro.html ""previous page"") [next References](references.html ""next page"") Contents * [Preparing Chat Templates](#preparing-chat-templates) * [Launching the Server](#launching-the-server) + [Arguments for the serve command](#arguments-for-the-serve-command) * [Examples](#examples) + [LLaMA-3.1-70B with 4 RNGDs](#llama-3-1-70b-with-4-rngds) + [LLaMA-3.1-8B with Single RNGD](#llama-3-1-8b-with-single-rngd) * [Using OpenAI Client](#using-openai-client) * [The compatibility with OpenAI API](#the-compatibility-with-openai-api) By FuriosaAI, Inc. © Copyright 2024, FuriosaAI, Inc..']","FuriosaAI, Inc. provides the `furiosa-llm` package, which includes an OpenAI-compatible server that can interact with OpenAI clients, supporting the `/v1/chat/completions` and `/v1/completions` APIs.",single_hop_specifc_query_synthesizer
9,Wht r the compatibilty issues with Transformers v4.31.0 in Furiosa SDK 2024.1.0?,"['Using OpenAI Client](#using-openai-client) * [The compatibility with OpenAI API](#the-compatibility-with-openai-api) OpenAI Compatible Server [#](#openai-compatible-server ""Link to this heading"") ============================================================================== The `furiosa-llm` package includes an OpenAI-compatible server that can interact with OpenAI clients (and, of course, HTTP clients as well), supporting the `/v1/chat/completions` and `/v1/completions` APIs. In this section, we will explain how to launch the OpenAI-compatible furiosa-llm server. Tip You can learn more about the OpenAI API at [Completions API](https://platform.openai.com/docs/api-reference/completions) and [Chat API](https://platform.openai.com/docs/api-reference/chat) . To launch the server, you must prepare: (1) the FuriosaAI LLM Engine artifact and (2) a chat template for the model. To download the FuriosaAI LLM Engine artifact, follow the instructions provided through our distribution channels or contact our sales team. To prepare the chat template, follow the instructions in the following section. Preparing Chat Templates [#](#preparing-chat-templates ""Link to this heading"") ------------------------------------------------------------------------------ Furiosa SDK 2024.1.0 (alpha) uses Transformers v4.31.0, which does not include a chat template. Therefore, to support `/v1/chat/completions` , you must provide a chat template yourself. This constraint will be removed in future releases. Warning This document is based on Furiosa SDK 2024.1.0 (alpha) version, and the features and APIs described in this document may change in the future. If you have access to the Llama repositories on Hugging Face, you can obtain the chat template for Llama using the following commands: ``` # Prerequisite: create a separate environment to install the latest Transformers version pip install ""transformers>=4.34.0"" python - <<EOF from transformers import AutoTokenizer tok = AutoTokenizer.from_pretrained(\'meta-llama/Meta-Llama-3.1-70B-Instruct\') with open(\'chat_template.tpl\', \'w\') as f: f.write(tok.chat_template) EOF ``` Launching the Server [#](#launching-the-server ""Link to this heading"") ---------------------------------------------------------------------- You can launch the server using the furiosa-llm serve command. ### Arguments for the serve command [#](#arguments-for-the-serve-command ""Link to this heading"") ``` usage: furiosa-llm serve [-h] --model {furiosa-ai/llama-3-1-70b,furiosa-ai/llama-3-1-8b,furiosa-ai/fake-llm} --artifact ARTIFACT [--host HOST] [--port PORT] --chat-template CHAT_TEMPLATE [--response-role RESPONSE_ROLE] [-pp PIPELINE_PARALLEL_SIZE] [-tp TENSOR_PARALLEL_SIZE] [--devices DEVICES] options: -h, --help show this help message and exit --model {furiosa-ai/llama-3-1-70b,furiosa-ai/llama-3-1-8b,furiosa-ai/fake-llm} The model to use. Currently only one model is supported per server. --artifact ARTIFACT Path to Furiosa LLM Engine artifact --host HOST Host to bind the server to --port PORT Port to bind the server to --chat-template CHAT_TEMPLATE Path to chat template file (must be a jinja2 template) --response-role RESPONSE_ROLE Response role for /v1/chat/completions API (default: \'assistant\') -pp PIPELINE_PARALLEL_SIZE, --pipeline-parallel-size PIPELINE_PARALLEL_SIZE Number of pipeline stages. -tp TENSOR_PARALLEL_SIZE, --tensor-parallel-size TENSOR_PARALLEL_SIZE Number of tensor parallel replicas. --devices DEVICES Devices to use (e.g. ""npu:0:*,npu:1:*""). If unspecified, all available devices from the host will be used. ``` Examples [#](#examples ""Link to this heading"") ---------------------------------------------- ### LLaMA-3.1-70B with 4 RNGDs [#](#llama-3-1-70b-with-4-rngds ""Link to this heading"") ``` furiosa-llm serve \\ --model {path to mlperf-llama-3-1-fp8-pp4} \\ -tp 4 -pp 4 --devices ""npu:0:*,npu:1:*,npu:2:*,npu:3:*"" \\ --chat-template {path to chat template} ``` ### LLaMA-3.1-8B with Single RNGD [#](#llama-3-1-8b-with-single-rngd ""Link to this heading"") ``` furiosa-llm serve \\ --model {path to mlperf-llama-3-1-8b-fp8} \\ -tp 4 -pp 1 --devices ""npu:0:*"" \\ # You may choose arbitrary device index, if multiple devices are on host --chat-template {path to chat template} ``` Using OpenAI Client [#](#using-openai-client ""Link to this heading"") -------------------------------------------------------------------- You can use two APIs: `client.chat.completions` and `client.completions` . You can also set `stream=True` to receive a streaming response. Tip You can install the OpenAI Python client using the following command: ``` pip install openai ``` ``` import openai HOST = ""localhost:8000"" openai.api_base = f""http://{HOST}/v1"" openai.api_key = ""0000"" stream_chat_completion = openai.ChatCompletion.create( model="""", messages=[ {""role"": ""system"", ""content"": ""You are a helpful assistant.""}, {""role"": ""user"", ""content"": ""What is the largest animal in the world?""}, ], stream=True, ) for completion in stream_chat_completion: content = completion.choices[0].delta.get(""content"") if content: print(content, end="""") ``` The compatibility with OpenAI API [#](#the-compatibility-with-openai-api ""Link to this heading"") ------------------------------------------------------------------------------------------------ Currently, `furiosa serve` supports the following OpenAI API parameters: You can find more about each parameter at [Completions API](https://platform.openai.com/docs/api-reference/completions) and [Chat API](https://platform.openai.com/docs/api-reference/chat) . Warning Please note that using `use_beam_search` with `stream` is not allowed because the beam search cannot determine the tokens until the end of the sequence. In 2024.1 release, `n` works only for beam search and it will be fixed in the next release. * `n` * `temperature` * `top_p` * `top_k` * `early_stopping` * `length_penalty` * `max_tokens` * `min_tokens` * `use_beam_search` * `best_of` [previous Furiosa LLM](intro.html ""previous page"") [next References](references.html ""next page"") Contents * [Preparing Chat Templates](#preparing-chat-templates) * [Launching the Server](#launching-the-server) + [Arguments for the serve command](#arguments-for-the-serve-command) * [Examples](#examples) + [LLaMA-3.1-70B with 4 RNGDs](#llama-3-1-70b-with-4-rngds) + [LLaMA-3.1-8B with Single RNGD](#llama-3-1-8b-with-single-rngd) * [Using OpenAI Client](#using-openai-client) * [The compatibility with OpenAI API](#the-compatibility-with-openai-api) By FuriosaAI, Inc. © Copyright 2024, FuriosaAI, Inc..']","Transformers v4.31.0 does not include a chat template, which is necessary to support the `/v1/chat/completions` API in Furiosa SDK 2024.1.0. Therefore, users must provide a chat template themselves.",single_hop_specifc_query_synthesizer
