page_id,link,question,answer,generated
3e9b309f-d9d2-4ee7-be9e-9ffe421d4cfa,https://furiosa-ai.github.io/docs-dev/2024.1/en/furiosa_llm/intro.html,"What are the planned features for Furiosa LLM's future releases, and how do they enhance its capabilities?",Planned features for Furiosa LLM include Tensor Parallelism across multiple NPUs and speculative decoding. These enhancements aim to improve parallel processing capabilities and offer more efficient decoding strategies.,"**Planned Features for Furiosa LLM's Future Releases**

Based on the provided context, I've extracted the key details about the planned features for Furiosa LLM's future releases. These features aim to enhance its capabilities and provide state-of-the-art serving optimization.

**1. Tensor Parallelism (Release 2024.2)**

Tensor Parallelism is a planned feature that will allow Furiosa LLM to parallelize tensor operations across multiple NPUs. This feature will enable more efficient processing of large models and improve overall performance.

**Example:** To utilize Tensor Parallelism, you can use the `--tensor-parallelism` flag when running your model with Furiosa LLM. For instance:
```bash
furiosa_llm --model my_model --input input_data --tensor-parallelism
```
This will enable tensor parallelism for your model and distribute the computation across multiple NPUs.

**2. Speculative Decoding (Planned)**

Speculative decoding is a planned feature that will allow Furiosa LLM to perform speculative execution of decoding algorithms, such as greedy search, beam search, top-k/top-p, and others. This feature will improve the overall performance of the model by reducing latency and increasing throughput.

**Example:** To use speculative decoding with Furiosa LLM, you can specify the `--speculative-decoding` flag when running your model. For instance:
```bash
furiosa_llm --model my_model --input input_data --speculative-decoding
```
This will enable speculative decoding for your model and allow Furiosa LLM to perform speculative execution of decoding algorithms.

**3. HuggingFace PEFT Support (Planned)**

HuggingFace PEFT support is a planned feature that will allow Furiosa LLM to integrate with the HuggingFace PEFT (Parameter-Efficient Fine-Tuning) library. This feature will enable users to fine-tune their models using the PEFT library and leverage the efficiency of Furiosa LLM.

**Example:** To use HuggingFace PEFT support with Furiosa LLM, you can specify the `--huggingface-peft` flag when running your model. For instance:
```bash
furiosa_llm --model my_model --input input_data --huggingface-peft
```
This will enable HuggingFace PEFT support for your model and allow Furiosa LLM to integrate with the PEFT library.

These planned features will enhance the capabilities of Furiosa LLM and provide users with more efficient and effective ways to deploy their models."
3e9b309f-d9d2-4ee7-be9e-9ffe421d4cfa,https://furiosa-ai.github.io/docs-dev/2024.1/en/furiosa_llm/intro.html,What are the key features of Furiosa LLM that enable it to optimize the serving of LLM models?,"Furiosa LLM features include a vLLM-compatible API, efficient KV cache management with PagedAttention, continuous batching of incoming requests, quantization options (INT4, INT8, FP8, GPTQ, AWQ), data and pipeline parallelism across multiple NPUs, an OpenAI-compatible API server, various decoding algorithms, and integration with HuggingFace models and hub support.","**Key Features of Furiosa LLM for Optimizing LLM Model Serving**

Furiosa LLM is designed to provide state-of-the-art serving optimization for Large Language Models (LLMs) and Multi-Modal LLM models. The key features that enable this optimization are:

1. **vLLM-compatible API**: This allows for seamless integration with existing vLLM-based workflows.
2. **Efficient KV cache management with PagedAttention**: This feature optimizes memory usage and reduces latency by efficiently managing the attention mechanism's memory footprint.
3. **Continuous batching of incoming requests in serving**: This enables Furiosa LLM to process multiple requests simultaneously, improving overall throughput and reducing response times.
4. **Quantization**: Support for various quantization schemes (INT4, INT8, FP8, GPTQ, AWQ) allows for reduced memory usage and improved inference performance.
5. **Data Parallelism and Pipeline Parallelism across multiple NPUs**: This enables Furiosa LLM to take advantage of multiple Neural Processing Units (NPUs), improving overall processing speed and efficiency.
6. **Tensor Parallelism** (planned in release 2024.2): This feature will allow for parallelization of tensor operations, further improving performance.

Additionally, Furiosa LLM provides:

* **OpenAI-compatible API server**: Enables easy integration with OpenAI-based workflows.
* **Various decoding algorithms**: Supports greedy search, beam search, top-k/top-p, and speculative decoding (planned) to optimize the serving process.
* **HuggingFace model integration and hub support**: Allows for seamless integration with HuggingFace models and hubs.
* **HuggingFace PEFT support** (planned): Will enable support for HuggingFace's PEFT (Parameter-Efficient Fine-Tuning) framework.

These features collectively enable Furiosa LLM to optimize the serving of LLM models, providing improved performance, efficiency, and scalability."
3e9b309f-d9d2-4ee7-be9e-9ffe421d4cfa,https://furiosa-ai.github.io/docs-dev/2024.1/en/furiosa_llm/intro.html,How does Furiosa LLM manage efficient KV cache and what role does PagedAttention play in this process?,"Furiosa LLM manages efficient KV cache through the use of PagedAttention, which is one of its key features for optimizing inference performance.","**Efficient KV Cache Management with PagedAttention in Furiosa LLM**

To answer your question, let's break down the key components involved in managing efficient KV cache and the role of PagedAttention in this process.

**KV Cache:**
In the context of Large Language Models (LLMs), a KV cache refers to a caching mechanism that stores key-value pairs. The KV cache is used to store frequently accessed data, such as model weights, embeddings, or intermediate results, to reduce memory access latency and improve overall performance.

**PagedAttention:**
PagedAttention is a component of Furiosa LLM's efficient KV cache management system. It is designed to optimize attention mechanisms in transformer-based models by reducing the number of memory accesses required for attention computations.

Here's how PagedAttention works:

1. **Page-based caching**: The KV cache is divided into smaller, fixed-size pages. Each page contains a set of key-value pairs.
2. **Attention computation**: When an attention computation is requested, PagedAttention checks if the required keys are already cached in one of the pages.
3. **Cache hit**: If the keys are found in the cache (i.e., a cache hit), PagedAttention retrieves the corresponding values from the cache and returns them directly.
4. **Cache miss**: If the keys are not found in the cache (i.e., a cache miss), PagedAttention loads the required data from memory, updates the cache with the new key-value pairs, and then performs the attention computation.

**Benefits of PagedAttention:**

* Reduced memory access latency
* Improved attention computation performance
* Efficient use of KV cache storage

To illustrate this process, consider an example where we have a transformer-based model that uses self-attention to compute the output. The attention mechanism requires accessing the model's weights and input embeddings.

```python
import torch
from furiosa_llm import PagedAttention

# Initialize the model and input data
model = TransformerModel()
input_data = torch.randn(1, 10, 512)

# Create a PagedAttention instance with a page size of 1024
paged_attention = PagedAttention(page_size=1024)

# Perform attention computation using PagedAttention
output = paged_attention(model, input_data)
```

In this example, the `PagedAttention` instance manages the KV cache and optimizes attention computations by reducing memory accesses. The `page_size` parameter controls the size of each page in the cache.

By leveraging PagedAttention, Furiosa LLM provides an efficient KV cache management system that improves the performance of transformer-based models while minimizing memory access latency."
dcd59fbc-fb76-4f34-b6ec-ea88a833b047,https://furiosa-ai.github.io/docs-dev/2024.1/en/cloud_native_toolkit/kubernetes/device_plugin.html,"What are the default configuration values for deploying the Furiosa Device Plugin using Helm, and how can they be modified?","The default configuration values for deploying the Furiosa Device Plugin using Helm are: resourceStrategy set to 'generic', debugMode set to false, and disabledDeviceUUIDListMap set to an empty list []. These can be modified by changing the values in the 'charts/furiosa-device-plugin/values.yaml' file.","**Default Configuration Values for Deploying the Furiosa Device Plugin using Helm**

The default configuration values for deploying the Furiosa Device Plugin using Helm are specified in the `values.yaml` file of the helm chart. The key details are:

*   **resourceStrategy**: The default value is `""generic""`.
*   **debugMode**: The default value is `false`.
*   **disabledDeviceUUIDListMap**: The default value is an empty list `[]`.

**Modifying Configuration Values**

To modify these configuration values, you can update the `values.yaml` file in the helm chart repository. Here's a step-by-step guide:

1.  Clone the Furiosa AI Helm Charts repository:
    ```bash
git clone https://github.com/furiosa-ai/helm-charts.git
```
2.  Navigate to the `charts/furiosa-device-plugin` directory:
    ```bash
cd helm-charts/charts/furiosa-device-plugin
```
3.  Update the `values.yaml` file with your desired configuration values. For example, you can change the `resourceStrategy` to `""legacy""` and enable `debugMode`:
    ```
config:
  resourceStrategy: legacy
  debugMode: true
  disabledDeviceUUIDListMap:
    - ""uuid-1""
    - ""uuid-2""
```
4.  Save the changes to the `values.yaml` file.
5.  Deploy the Furiosa Device Plugin using Helm with your updated configuration values:
    ```bash
helm install furiosa-device-plugin . -n kube-system
```

**Example Use Case**

Suppose you want to deploy the Furiosa Device Plugin with a custom resource strategy and debug mode enabled. You can update the `values.yaml` file as shown above and then deploy the plugin using Helm.

By following these steps, you can modify the default configuration values for deploying the Furiosa Device Plugin using Helm and tailor the deployment to your specific requirements."
dcd59fbc-fb76-4f34-b6ec-ea88a833b047,https://furiosa-ai.github.io/docs-dev/2024.1/en/cloud_native_toolkit/kubernetes/device_plugin.html,What are the functionalities provided by the Furiosa device plugin when integrated into a Kubernetes cluster?,"The Furiosa device plugin discovers Furiosa NPU devices, registers them to a Kubernetes cluster, tracks the health of the devices, reports to the cluster, and runs AI workloads on the Furiosa NPU devices within the cluster.",No relevant content found
dcd59fbc-fb76-4f34-b6ec-ea88a833b047,https://furiosa-ai.github.io/docs-dev/2024.1/en/cloud_native_toolkit/kubernetes/device_plugin.html,"How does the Furiosa Device Plugin manage NPU resources in a Kubernetes cluster, and what are the implications of using different resource strategies?","The Furiosa Device Plugin can manage NPU resources by exposing a single NPU card as either a single resource or partitioning it into multiple resources. The 'legacy' strategy uses the resource name 'beta.furiosa.ai/npu' with one resource per card, while the 'generic' strategy uses 'furiosa.ai/rngd' also with one resource per card. Partitioning allows for more granular control over resource allocation.","**Managing NPU Resources in a Kubernetes Cluster using Furiosa Device Plugin**

The Furiosa Device Plugin is designed to manage NPU resources in a Kubernetes cluster. It implements the Kubernetes Device Plugin interface for FuriosaAI NPU devices, allowing you to discover and register NPU devices, track their health, and run AI workloads on top of them.

**Resource Strategies**

The plugin supports two resource strategies:

1. **Legacy**: Exposes a single NPU card as a single resource (`beta.furiosa.ai/npu`).
2. **Generic**: Exposes an NPU card as multiple resources (`furiosa.ai/rngd`).

You can choose the resource strategy by modifying the `resourceStrategy` value in the `values.yaml` file of the Furiosa Device Plugin Helm chart.

**Implications of Using Different Resource Strategies**

* **Legacy Strategy**: This strategy is simpler to manage, but it may lead to underutilization of NPU resources. If you have multiple AI workloads that can run concurrently on a single NPU card, this strategy might not be optimal.
* **Generic Strategy**: This strategy provides more granular control over NPU resources, allowing for better utilization and flexibility. However, it requires more complex configuration and management.

**Example Configuration**

To deploy the Furiosa Device Plugin with the generic resource strategy, you can modify the `values.yaml` file as follows:
```yaml
config:
  resourceStrategy: generic
```
Then, run the following commands to deploy the plugin:
```bash
helm repo add furiosa https://furiosa-ai.github.io/helm-charts
helm repo update
helm install furiosa-device-plugin furiosa/furiosa-device-plugin -n kube-system
```
**CLI Commands**

To verify that the Furiosa Device Plugin is running correctly, you can use the following CLI commands:

* `kubectl get nodes`: Verify that the NPU devices are registered and visible in the Kubernetes cluster.
* `kubectl describe node <node-name>`: Check the node's configuration and resource allocation.
* `kubectl get pods -n kube-system`: Verify that the Furiosa Device Plugin pod is running correctly.

By choosing the right resource strategy and configuring the Furiosa Device Plugin accordingly, you can efficiently manage NPU resources in your Kubernetes cluster and optimize AI workload execution."
3bb3bd0a-7bdc-45a7-8e3e-e556a52d7eda,https://furiosa-ai.github.io/docs-dev/2024.1/en/getting_started/furiosa_mlperf.html,What are the minimum system requirements and installation steps needed to set up the 'furiosa-mlperf' command for running MLPerf Inference Benchmark?,"The minimum system requirements for 'furiosa-mlperf' are Ubuntu 20.04 LTS (Debian bullseye) or later, root or sudo permission, configuring the APT server and installing device drivers, and about 100GB storage space for the Llama 3.1 70B. To install, update the package list with 'sudo apt update' and then install using 'sudo apt install -y furiosa-mlperf'. This installs 'furiosa-compiler', 'furiosa-mlperf', and 'furiosa-mlperf-resources' packages.","**Minimum System Requirements and Installation Steps for `furiosa-mlperf` Command**

To set up the `furiosa-mlperf` command for running MLPerf Inference Benchmark, you need to meet the following minimum system requirements:

*   **Operating System:** Ubuntu 20.04 LTS (Debian bullseye) or later
*   **Root Permission:** Root permission or sudo permission is required
*   **Storage Space:** About 100GB storage space is needed (only for the Llama 3.1 70B)
*   **APT Server and Device Drivers:** Configuring the APT server and installing device drivers as described in [Setting up APT server](prerequisites.html#aptsetup)

**Installation Steps:**

1.  Update the package list using `sudo apt update`
2.  Install the `furiosa-mlperf` package using `sudo apt install -y furiosa-mlperf`

This command installs packages `furiosa-compiler`, `furiosa-mlperf`, and `furiosa-mlperf-resources`.

**Running MLPerf Inference Benchmark:**

Once installed, you can run the MLPerf Inference Benchmark using the `furiosa-mlperf` command. The command provides several subcommands for running different benchmarks:

*   `bert-offline`: Run BERT benchmark with offline scenario
*   `bert-server`: Run BERT benchmark with server scenario
*   `gpt-j-offline`: Run GPT-J benchmark with offline scenario
*   `gpt-j-server`: Run GPT-J benchmark with server scenario
*   `llama-3.1-offline`: Run Llama 3.1 benchmark with offline scenario
*   `llama-3.1-server`: Run Llama 3.1 benchmark with server scenario

**Examples:**

*   BERT Benchmark:

    *   Server Scenario:
        ```bash
furiosa-mlperf bert-server ./bert-large ./bert-server-result --device-mesh ""npu:0:*""
```
    *   Offline Scenario:
        ```bash
furiosa-mlperf bert-offline ./bert-large ./bert-offline-result --device-mesh ""npu:0:*""
```

*   GPT-J Benchmark:

    *   Server Scenario:
        ```bash
furiosa-mlperf gpt-j-server ./gpt-j-6b ./gpt-j-server-result
```
    *   Offline Scenario:
        ```bash
furiosa-mlperf gpt-j-offline ./gpt-j-6b ./gpt-j-offline-result
```

*   Llama 3.1 Benchmark:

    *   Server Scenario:
        ```bash
furiosa-mlperf llama-3.1-server ./llama-3.1-70b ./llama-3.1-server-result
```
    *   Offline Scenario:
        ```bash
furiosa-mlperf llama-3.1-offline ./llama-3.1-70b ./llama-3.1-offline-result
```

**Running `furiosa-mlperf` in Container Environment:**

FuriosaAI provides a containerized version of the `furiosa-mlperf` command. To run the `furiosa-mlperf` container, use the following command:

```bash
$ docker run -it --rm --privileged \
  -v /opt/gpt-j-6b:gpt-j-6b furiosa-mlperf:2024.1.0 bash
(container) # furiosa-mlperf gpt-j-offline /gpt-j-6b /gpt-j-offline-result
```

Note that the `--privileged` option is used for simplicity but is not recommended for security reasons. For a secure and recommended method, refer to the [Cloud Native Toolkit](../cloud_native_toolkit/intro.html#cloudnativetoolkit) page.

By following these steps and examples, you can successfully set up and run the `furiosa-mlperf` command for MLPerf Inference Benchmark on your system."
3bb3bd0a-7bdc-45a7-8e3e-e556a52d7eda,https://furiosa-ai.github.io/docs-dev/2024.1/en/getting_started/furiosa_mlperf.html,"How does the FuriosaAI Software Stack modify the MLPerf Inference Benchmark for its implementation, and what specific benchmark replacement does it include?",The FuriosaAI Software Stack modifies the MLPerf Inference Benchmark by replacing the Llama2 benchmark with one using Llama 3.1.,"**Modifications to MLPerf Inference Benchmark**

The FuriosaAI Software Stack modifies the MLPerf Inference Benchmark by replacing the Llama2 benchmark with one using Llama 3.1.

**Specific Benchmark Replacement**

The specific benchmark replacement is the Llama 3.1 70B, which is used in both server and offline scenarios.

**Key Differences**

* The original MLPerf Inference Benchmark v4.1 uses Llama2, whereas FuriosaAI Software Stack uses Llama 3.1.
* The Llama 3.1 benchmark is based on running with four RNGDs (Random Number Generators), whereas the other benchmarks use a single RNGD.

**Running the Modified Benchmark**

To run the modified MLPerf Inference Benchmark using FuriosaAI Software Stack, you can follow the instructions provided in the documentation, including installing the `furiosa-mlperf` command and running the benchmark using the `furiosa-mlperf` command with the desired subcommand (e.g., `bert-server`, `gpt-j-offline`, etc.).

**Example Commands**

Here are some example commands to run the modified benchmark:

* To run BERT Large serving inference benchmark: `furiosa-mlperf bert-server ./bert-large ./bert-server-result --device-mesh ""npu:0:*""`
* To run GPT-J 6B offline inference benchmark: `furiosa-mlperf gpt-j-offline ./gpt-j-6b ./gpt-j-offline-result`
* To run Llama 3.1 70B serving inference benchmark: `furiosa-mlperf llama-3.1-server ./llama-3.1-70b ./llama-3.1-server-result`

Note that these commands assume you have installed the `furiosa-mlperf` command and have the necessary model artifacts in place."
3bb3bd0a-7bdc-45a7-8e3e-e556a52d7eda,https://furiosa-ai.github.io/docs-dev/2024.1/en/getting_started/furiosa_mlperf.html,"What are the specific subcommands provided by the 'furiosa-mlperf' command for running different MLPerf Inference Benchmarks, and what scenarios do they cover?","The 'furiosa-mlperf' command provides subcommands for running benchmarks in different scenarios: 'bert-offline' and 'bert-server' for BERT benchmarks, 'gpt-j-offline' and 'gpt-j-server' for GPT-J benchmarks, and 'llama-3.1-offline' and 'llama-3.1-server' for Llama 3.1 benchmarks. Each subcommand corresponds to either an offline or server scenario.","**Interpreting the 'furiosa-mlperf' Command and its Subcommands**

The `furiosa-mlperf` command is a part of the FuriosaAI Software Stack that allows users to run MLPerf Inference Benchmarks. The command provides several subcommands for running different benchmarks with various scenarios.

**Subcommands Provided by 'furiosa-mlperf'**

The following subcommands are available:

*   `bert-offline`: Run BERT benchmark with offline scenario
*   `bert-server`: Run BERT benchmark with server scenario
*   `gpt-j-offline`: Run GPT-J benchmark with offline scenario
*   `gpt-j-server`: Run GPT-J benchmark with server scenario
*   `llama-3.1-offline`: Run Llama 3.1 benchmark with offline scenario
*   `llama-3.1-server`: Run Llama 3.1 benchmark with server scenario

**Scenarios Covered by Each Subcommand**

Each subcommand covers a specific scenario:

*   Offline Scenario: This scenario is used for running benchmarks in an offline environment, where the model is not serving any requests.
*   Server Scenario: This scenario is used for running benchmarks in a server environment, where the model is serving requests.

**Examples of Using 'furiosa-mlperf' Subcommands**

Here are some examples of using the `furiosa-mlperf` subcommands:

*   Run BERT Large serving inference benchmark:
    ```bash
furiosa-mlperf bert-server ./bert-large ./bert-server-result --device-mesh ""npu:0:*""
```
*   Run GPT-J 6B offline inference benchmark:
    ```bash
furiosa-mlperf gpt-j-offline ./gpt-j-6b ./gpt-j-offline-result
```
*   Run Llama 3.1 70B serving inference benchmark:
    ```bash
furiosa-mlperf llama-3.1-server ./llama-3.1-70b ./llama-3.1-server-result
```

**Common Options and Usage**

All subcommands share common options, such as `-h` or `--help` for printing help messages, and `-V` or `--version` for printing the version of the command.

Once a benchmark is completed, it writes the results to a file in the specified results directory. You can open this file to view a summary of the results.

For example:
```bash
cat gpt-j-offline-result/mlperf_log_summary.txt
```
This will display a summary of the results, including the SUT name, scenario, mode, samples per second, tokens per second (inferred), and whether the result is valid."
a3d94379-304a-4dbc-8300-39169378bfd5,https://furiosa-ai.github.io/docs-dev/2024.1/en/furiosa_llm/furiosa-llm-serve.html,"What are the necessary components and steps required to launch the OpenAI-compatible Furiosa-LLM server, and how does the chat template factor into this process?","To launch the OpenAI-compatible Furiosa-LLM server, you need the FuriosaAI LLM Engine artifact and a chat template for the model. The chat template is crucial because the Furiosa SDK 2024.1.0 (alpha) uses Transformers v4.31.0, which does not include a chat template by default. Therefore, users must provide their own chat template to support the /v1/chat/completions API. The server is launched using the 'furiosa-llm serve' command with specific arguments, including the model, artifact path, host, port, chat template path, and optional parameters like response role, pipeline parallel size, tensor parallel size, and devices.","To launch the OpenAI-compatible Furiosa-LLM server, you need to prepare two components:

1. **FuriosaAI LLM Engine artifact**: You can download this artifact through Furiosa's distribution channels or contact their sales team.
2. **Chat template for the model**: Since Furiosa SDK 2024.1.0 (alpha) uses Transformers v4.31.0, which does not include a chat template, you need to provide one yourself.

**Preparing Chat Templates**

If you have access to the Llama repositories on Hugging Face, you can obtain the chat template for Llama using the following commands:

```bash
pip install ""transformers>=4.34.0""
python - <<EOF
from transformers import AutoTokenizer
tok = AutoTokenizer.from_pretrained('meta-llama/Meta-Llama-3.1-70B-Instruct')
with open('chat_template.tpl', 'w') as f:
    f.write(tok.chat_template)
EOF
```

**Launching the Server**

You can launch the server using the `furiosa-llm serve` command.

### Arguments for the serve command

```bash
usage: furiosa-llm serve [-h] --model {furiosa-ai/llama-3-1-70b,furiosa-ai/llama-3-1-8b,furiosa-ai/fake-llm} 
                         --artifact ARTIFACT [--host HOST] [--port PORT]
                         --chat-template CHAT_TEMPLATE [--response-role RESPONSE_ROLE] [-pp PIPELINE_PARALLEL_SIZE] 
                         [-tp TENSOR_PARALLEL_SIZE] [--devices DEVICES]
```

**Examples**

### LLaMA-3.1-70B with 4 RNGDs

```bash
furiosa-llm serve \
    --model {path to mlperf-llama-3-1-fp8-pp4} \
    -tp 4 -pp 4 --devices ""npu:0:*,npu:1:*,npu:2:*,npu:3:*"" \
    --chat-template {path to chat template}
```

### LLaMA-3.1-8B with Single RNGD

```bash
furiosa-llm serve \
    --model {path to mlperf-llama-3-1-8b-fp8} \
    -tp 4 -pp 1 --devices ""npu:0:*"" \
    # You may choose arbitrary device index, if multiple devices are on host
    --chat-template {path to chat template}
```

**Using OpenAI Client**

You can use two APIs: `client.chat.completions` and `client.completions`. You can also set `stream=True` to receive a streaming response.

```python
import openai

HOST = ""localhost:8000""
openai.api_base = f""http://{HOST}/v1""
openai.api_key = ""0000""

stream_chat_completion = openai.ChatCompletion.create(
    model="""",
    messages=[
        {""role"": ""system"", ""content"": ""You are a helpful assistant.""},
        {""role"": ""user"", ""content"": ""What is the largest animal in the world?""},
    ],
    stream=True,
)

for completion in stream_chat_completion:
    content = completion.choices[0].delta.get(""content"")
    if content:
        print(content, end="""")
```

**The compatibility with OpenAI API**

Currently, `furiosa-llm serve` supports the following OpenAI API parameters:

*   `n`
*   `temperature`
*   `top_p`
*   `top_k`
*   `early_stopping`
*   `length_penalty`
*   `max_tokens`
*   `min_tokens`
*   `use_beam_search`
*   `best_of`

Please note that using `use_beam_search` with `stream` is not allowed because the beam search cannot determine the tokens until the end of the sequence. In 2024.1 release, `n` works only for beam search and it will be fixed in the next release."
