,page_id,link,question,answer
0,cf227685-cc4e-420e-b21a-e7da166093e5,https://furiosa-ai.github.io/docs/latest/en/software/vm_support.html,What steps are necessary to ensure that a Warboy device is recognized and available within a virtual machine using QEMU-KVM?,"First, enable IOMMU in both BIOS and Linux OS. Verify IOMMU is enabled by checking for DMAR or IOMMU messages using 'dmesg' and 'grep' commands. Load the 'vfio-pci' kernel module if not already loaded. Ensure the virtual machine tool is ready by running 'virt-host-validate' and confirming all checks pass. Identify the PCI BDF of the Warboy card using 'lspci' and find the PCIe device name with 'virsh nodedev-list'. Create the virtual machine with 'virt-install', specifying the Warboy device using the '--host-device' option. Finally, verify the Warboy device is available in the VM by using 'lspci' and 'update-pciids' commands."
1,cf227685-cc4e-420e-b21a-e7da166093e5,https://furiosa-ai.github.io/docs/latest/en/software/vm_support.html,"What is the significance of the PCI BDF in configuring Warboy pass-through for a virtual machine, and how can it be identified?","The PCI BDF (Bus, Device, Function) is a unique identifier assigned to every PCIe device connected to a machine, crucial for identifying the Warboy card to pass through to a virtual machine. It can be identified using the command 'lspci -nD | grep 1ed2', where '1ed2' is the PCI vendor ID of FuriosaAI Inc. The output includes the PCI BDF, such as '01:00.0', which is then used to form the PCIe device name for the virtual machine tool."
2,cf227685-cc4e-420e-b21a-e7da166093e5,https://furiosa-ai.github.io/docs/latest/en/software/vm_support.html,What are the specific BIOS and Linux OS configurations required to enable IOMMU for Warboy pass-through in a virtual machine setup?,"In BIOS, IOMMU and VT-x should be enabled. In Linux OS, check for IOMMU messages using 'dmesg | grep -e DMAR -e IOMMU'. If not found, add 'intel_iommu=on' for Intel CPU or 'amd_iommu=on' for AMD CPU to 'GRUB_CMDLINE_LINUX' in '/etc/default/grub' and apply changes by rebooting. For legacy BIOS boot mode, use 'grub2-mkconfig -o /boot/grub2/grub.cfg', and for UEFI boot mode, use 'grub2-mkconfig -o /boot/efi/EFI/{linux_distrib}/grub.cfg', replacing '{linux_distrib}' with the Linux OS name."
3,333851a4-2ea4-4903-87a2-0d50943faf1f,https://furiosa-ai.github.io/docs/latest/en/software/performance.html,"How does the optimization of the 'Quantize' operator using the 'ModelEditor' API improve inference latency, and what are the specific changes made to the input tensor data type?","The optimization of the 'Quantize' operator using the 'ModelEditor' API improves inference latency by changing the data type of the input tensor from 'float32' to 'uint8', allowing the 'quantize' operator to convert 'uint8' values to 'int8' values instead of 'float32' to 'int8'. This conversion is much faster, reducing the 'Quantize' execution time from 60.639 ms to 0.277 ms."
4,333851a4-2ea4-4903-87a2-0d50943faf1f,https://furiosa-ai.github.io/docs/latest/en/software/performance.html,"What are the key considerations and strategies for optimizing inference performance in a production environment using Furiosa SDK, particularly in relation to the interplay between NPU execution, CPU computation, and I/O operations?","Optimizing inference performance in a production environment using Furiosa SDK involves focusing on throughput and latency as key metrics. The interplay between NPU execution, CPU computation, and I/O operations is crucial, as these operations run independently and can overlap when multiple inferences are processed simultaneously. The longest operation among these determines the inference time, as shorter operations are hidden by longer ones. Strategies include model optimization to reduce bottlenecks, runtime optimization to leverage concurrency, and using tools like furiosa-bench for performance profiling. Additionally, optimizing NPU utilization by adjusting batch sizes and using multiple workers can enhance performance."
5,333851a4-2ea4-4903-87a2-0d50943faf1f,https://furiosa-ai.github.io/docs/latest/en/software/performance.html,"How does the Furiosa Compiler optimize models with large input and output tensors to improve performance, and what is the role of patch size in this optimization?","The Furiosa Compiler optimizes models with large input and output tensors by splitting them into smaller tensors, known as patches, and merging the results. This approach hides I/O operations between DRAM and SRAM by overlapping them with NPU executions. The patch size is crucial as it determines the balance between time spent on NPU computation and I/O operations, with smaller patches increasing NPU computation time and larger patches increasing I/O operation time."
6,13973d88-9f7d-49e4-8019-68c7f29141b3,https://furiosa-ai.github.io/docs/latest/en/releases/0.9.0.html,How does the percentile calibration method impact the accuracy of EfficientNet-B0 compared to the min-max calibration method in the Furiosa SDK 0.9.0 release?,The accuracy of EfficientNet-B0 increased from 16.104% with the min-max calibration method to 73.556% with the percentile calibration method.
7,13973d88-9f7d-49e4-8019-68c7f29141b3,https://furiosa-ai.github.io/docs/latest/en/releases/0.9.0.html,What are the new features introduced in the quantization tool of Furiosa SDK 0.9.0 that enhance model accuracy?,"The quantization tool in Furiosa SDK 0.9.0 introduces new APIs for flexibility, new calibration methods, an option to perform quantization at the model's beginning, and the ability to convert model output to uint8 using the 'normalized_pixel_outputs' argument. These enhancements contribute to improved model accuracy."
8,13973d88-9f7d-49e4-8019-68c7f29141b3,https://furiosa-ai.github.io/docs/latest/en/releases/0.9.0.html,What improvements have been made to the 'furiosactl' command-line tool in the Furiosa SDK 0.9.0 release?,"The 'furiosactl' command-line tool in the Furiosa SDK 0.9.0 release includes the addition of the 'furiosactl top' command to view NPU device utilization over time and improvements to the 'furiosactl info' command for displaying concise device information, with an option for more detailed output using '--full'."
9,64f0ffea-6087-4f27-8889-83479e61e89e,https://furiosa-ai.github.io/docs/latest/en/software/profiler.html,What are the advantages of using a Profiler Context for tracing model inference performance over tracing via environment variables?,"Using a Profiler Context allows for immediate trace enabling in interactive environments, the specification of labels for certain inference runs, and selective measurement of specified operator categories."
