Source Language,Target Language,Source,Candidate,Translation Time (s)
Korean,English,"""그는 """"현재 4개월 된 당뇨병에서 치료된 생쥐가 있다""""고 덧붙였다.""","He added that ""there are mice that have been cured of diabetes for four months.""",0.9757
Korean,English,노바스코샤주 핼리팩스의 댈하우지대학교 의과 교수이자 캐나다 당뇨 협회 임상과학부 의장인 Ehud Ur 박사는 이 연구가 아직 초기 단계라고 경고했습니다.,"Dr. Ehud Ur, a professor at Dalhousie University in Halifax, Nova Scotia, and chair of the clinical science department of the Canadian Diabetes Association, cautioned that this research is still in its early stages.",2.5632
Korean,English,"다른 전문가들과 마찬가지로, 그는 당뇨병의 치료 여부에 회의적이며, 이러한 결과는 제1형 당뇨병 환자에게는 관련이 없음을 지적합니다.","Like other experts, he is skeptical about the treatment of diabetes and notes that these results are irrelevant to type 1 diabetes patients.",1.5493
Korean,English,월요일 스웨덴 한림원 노벨상 문학위원회 사무총장 사라 다니우스는 스웨덴 스베리예스 라디오의 라디오 프로그램에서 위원회는 2016년 노벨 문학상 수상 소식을 밥 딜런에게 직접 전달하는 것이 불가능하여 그에게 연락을 취하려는 노력을 포기했다고 공개적으로 발표했습니다.,"The Secretary-General of the Swedish Academy, Sara Danius, announced publicly that the committee had given up on trying to contact Bob Dylan directly to inform him that he had won the 2016 Nobel Prize in Literature, as it was impossible to do so through Swedish SVT's radio program.",3.2167
Korean,English,"""대니어스(Danius)는 """"지금 우리는 아무것도 하지는 않고 있다. 그의 가장 가까운 협력자에게 전화를 걸어 이메일을 보냈고 매우 친절한 답장을 받았다. 현재로서는 확실히 그것으로 충분하다.""""""","""Danius has stated that 'at the moment, we are not doing anything. He called his closest associate and sent an email, and received a very kind response. For now, that seems sufficient.'""",2.3064
Korean,English,링의 CEO인 제이미 시미노프 (Jamie Siminoff)는 차고에 있던 그의 숍에서 초인종 소리를 들을 수 없었을 때 회사를 시작했다고 말했습니다.,"According to Jamie Siminoff, the CEO of Ring, the company was founded after he was unable to hear the doorbell sound from his shop, which was located in a garage.",2.1675
Korean,English,그는 무선 도어벨(Wi-Fi doorbell)을 만들었다고 말했다.,He said he made a wireless doorbell (Wi-Fi doorbell).,0.8419
Korean,English,"Siminoff는 2013년, 쇼 출연자가 스타트업의 자금 지원을 거절했었던 Shark Tank 에피소드에 출연한 이후 매출이 증가했다고 말했습니다.",Mr. Siminoff stated that sales increased after he appeared on the Shark Tank episode in which he was rejected for funding by the show's contestants in 2013.,2.0519
Korean,English,"2017년 말, 시미노프는 쇼핑 텔레비젼 채널인 QVC에 출연했다.","In late 2017, Shiminov appeared on QVC, a shopping television channel.",1.1311
Korean,English,Ring은 경쟁 보안회사인 ADT 사와의 소송 또한 합의를 보았다.,"Ring has also reached a settlement with ADT, a competing security company.",0.9583
